2021-08-07 14:23:18.459 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:23:18.478 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873572008489521152']
2021-08-07 14:23:18.491 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：6,1,50,自动_2
2021-08-07 14:23:20.499 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:23:20.536 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:23:20.550 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:23:20.564 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:23:20.835 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:23:20.841 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:23:20.847 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873572008489521152', '873572018392272896']
2021-08-07 14:23:20.860 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：7,2,50,自动_3
2021-08-07 14:23:22.868 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:23:22.875 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:23:22.880 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:23:22.883 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:23:23.111 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:23:23.113 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:23:23.117 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873572008489521152', '873572018392272896', '873572028085309440']
2021-08-07 14:23:23.124 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：8,2,50,自动_4
2021-08-07 14:23:25.131 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:23:25.142 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:23:25.157 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:23:25.164 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:23:25.419 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:23:25.450 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:23:25.472 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873572008489521152', '873572018392272896', '873572028085309440', '873572037744791552']
2021-08-07 14:23:25.488 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:23:25.494 | SUCCESS  | api.fileTaskApi:file_del:30 - 删除文件广播任务
2021-08-07 14:23:25.815 | SUCCESS  | scripts.test_fileTask:test_file_del:62 - 删除任务ID:873572008489521152,873572018392272896,873572028085309440,873572037744791552
2021-08-07 14:23:25.846 | SUCCESS  | scripts.test_fileTask:test_file_del:63 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:23:25.862 | SUCCESS  | scripts.test_fileTask:test_file_del:64 - 响应状态码:200
2021-08-07 14:46:24.534 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 14:46:24.537 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 14:46:24.722 | SUCCESS  | api.timingProjectApi:__init__:12 - ——————————————————————————> 初始化【定时方案】接口资源
2021-08-07 14:47:48.388 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 14:47:48.391 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 14:47:48.569 | SUCCESS  | api.timingProjectApi:__init__:12 - ——————————————————————————> 初始化【定时方案】接口资源
2021-08-07 14:47:48.574 | SUCCESS  | api.timingProjectApi:timing_project_add:15 - 添加定时方案
2021-08-07 14:47:48.734 | SUCCESS  | api.timingProjectApi:timing_project_add:24 - 获取【添加定时任务】请求对象:<Response [200]>
2021-08-07 15:09:23.843 | SUCCESS  | scripts.test_timingTask:setup_class:14 - ——————————> 初始化【定时方案】接口资源
2021-08-07 15:09:23.846 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 15:09:23.848 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 15:09:24.009 | SUCCESS  | scripts.test_timingTask:test_projeck_add:27 - 添加方案
2021-08-07 15:09:24.012 | SUCCESS  | api.timingProjectApi:__init__:12 - ——————————————————————————> 初始化【定时方案】接口资源
2021-08-07 15:09:24.024 | SUCCESS  | api.timingProjectApi:timing_project_add:15 - 添加定时方案
2021-08-07 15:09:24.162 | SUCCESS  | api.timingProjectApi:timing_project_add:24 - 获取【添加定时任务】请求对象:<Response [200]>
2021-08-07 15:09:24.168 | SUCCESS  | scripts.test_timingTask:test_projeck_add:34 - 获取任务ID：['']
2021-08-07 15:12:27.101 | SUCCESS  | scripts.test_timingTask:setup_class:14 - ——————————> 初始化【定时方案】接口资源
2021-08-07 15:12:27.105 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 15:12:27.107 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 15:12:27.289 | SUCCESS  | scripts.test_timingTask:test_projeck_add:27 - 添加方案
2021-08-07 15:12:27.292 | SUCCESS  | api.timingProjectApi:__init__:12 - ——————————————————————————> 初始化【定时方案】接口资源
2021-08-07 15:12:27.295 | SUCCESS  | api.timingProjectApi:timing_project_add:15 - 添加定时方案
2021-08-07 15:12:27.423 | SUCCESS  | api.timingProjectApi:timing_project_add:24 - 获取【添加定时任务】请求对象:<Response [200]>
2021-08-07 15:12:27.433 | SUCCESS  | scripts.test_timingTask:test_projeck_add:34 - 获取任务ID：['873584377538154496']
2021-08-07 15:17:32.746 | SUCCESS  | scripts.test_timingTask:setup_class:14 - ——————————> 初始化【定时方案】接口资源
2021-08-07 15:17:32.750 | SUCCESS  | api.timingProjectApi:__init__:12 - ——————————————————————————> 初始化【定时方案】接口资源
2021-08-07 15:17:32.752 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 15:17:32.754 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 15:17:32.909 | SUCCESS  | api.timingProjectApi:timing_project_add:15 - 添加定时方案
2021-08-07 15:17:32.936 | SUCCESS  | api.timingProjectApi:timing_project_add:24 - 获取【添加定时任务】请求对象:<Response [200]>
2021-08-07 15:17:32.939 | SUCCESS  | scripts.test_timingTask:test_projeck_add:34 - 获取定时方案ID：['873584377538154496']
2021-08-07 15:17:32.948 | SUCCESS  | api.timingProjectApi:timing_project_del:55 - 删除定时方案
2021-08-07 15:17:33.079 | SUCCESS  | api.timingProjectApi:timing_project_del:61 - 获取【删除定时方案方案】请求对象:<Response [200]>
2021-08-07 15:17:33.089 | SUCCESS  | scripts.test_timingTask:test_del:44 - 删除定时方案ID:873584377538154496
2021-08-07 15:17:33.105 | SUCCESS  | scripts.test_timingTask:test_del:45 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 15:17:33.117 | SUCCESS  | scripts.test_timingTask:test_del:46 - 响应状态码:200
2021-08-07 15:18:38.014 | SUCCESS  | scripts.test_timingTask:setup_class:14 - ——————————> 初始化【定时方案】接口资源
2021-08-07 15:18:38.019 | SUCCESS  | api.timingProjectApi:__init__:12 - ——————————————————————————> 初始化【定时方案】接口资源
2021-08-07 15:18:38.023 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 15:18:38.025 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
